album,zanr
7701,Dream Pop
7701,Folk Rock
7701,Singer/Songwriter
7701,Slowcore
7702,Dream Pop
7702,Folk Rock
7702,Slowcore
7757,Blues Rock
7757,Country Rock
7757,Folk Rock
7757,Jam Band
7757,Jazz-Rock
7757,Psychedelic Rock
7764,Funk Rock
7764,Psychedelic Rock
7764,Psychedelic Soul
7793,Funk
7793,Psychedelic Rock
7793,Psychedelic Soul
7812,Death Metal
7812,Progressive Metal
7812,Progressive Rock
7819,Hard Rock
7819,Heavy Metal
7820,Heavy Metal
7833,Heavy Metal
7833,Power Metal
7833,Thrash Metal
7833,US Power Metal
7855,Film Score
7855,Mexican Music
7855,Spaghetti Western
7862,Cinematic Classical
7862,Film Score
7862,Neoclassical New Age
7862,Orchestral
7937,Chicago Soul
7937,Funk
7937,Psychedelic Soul
7975,Jazz-Rock
7975,Progressive Rock
7975,Symphonic Prog
7976,Avant-Prog
7976,Jazz-Rock
7976,Progressive Rock
7976,Symphonic Prog
7997,Country
7997,Country Gospel
7997,Outlaw Country
7997,Rockabilly
8078,Art Rock
8078,Industrial Rock
8078,Post-Punk
8150,Heavy Metal
8150,Progressive Metal
8150,US Power Metal
8154,Deep Soul
8154,Rhythm &amp; Blues
8154,Southern Soul
8166,Contemporary Folk
8166,Country Rock
8166,Folk Rock
8182,Dream Pop
8182,Neo-Psychedelia
8182,Noise Pop
8182,Space Rock
8182,Space Rock Revival
8182,Symphonic Rock
8236,Progressive Rock
8236,Symphonic Prog
8282,Deep Soul
8282,Rhythm &amp; Blues
8282,Soul Blues
8282,Southern Soul
8325,Blues Rock
8325,Country Rock
8325,Swamp Rock
8326,Blues Rock
8326,Country Rock
8326,Rock &amp; Roll
8326,Swamp Rock
8328,Blues Rock
8328,Country Rock
8328,Rock &amp; Roll
8328,Swamp Rock
8343,Americana
8343,Folk Rock
8343,Heartland Rock
8343,Rock &amp; Roll
8343,Singer/Songwriter
8344,Heartland Rock
8344,Rock &amp; Roll
8344,Singer/Songwriter
8429,Avant-Folk
8429,Chamber Folk
8429,Chamber Music
8429,Drone
8429,Neo-Medieval Folk
8482,Funk
8482,Neo-Soul
8482,Psychedelic Soul
8482,Soul Jazz
8514,Chamber Folk
8514,Chamber Jazz
8514,Contemporary Folk
8514,Psychedelic Folk
8514,Singer/Songwriter
8557,Art Pop
8557,Piano Rock
8557,Singer/Songwriter
8638,Acid Jazz
8638,Trip Hop
8679,Abstract Hip Hop
8679,Boom Bap
8679,Jazz Rap
8679,West Coast Hip Hop
8758,Bossa nova
8758,Cool Jazz
8758,Samba-canção
8758,Samba-jazz
8758,Samba-jazz
8797,Ambient
8797,Ambient Techno
8797,Dark Ambient
8797,Electronic
8800,Abstract Hip Hop
8800,Boom Bap
8800,Conscious Hip Hop
8800,East Coast Hip Hop
8800,Experimental Hip Hop
8800,Hardcore Hip Hop
8862,Boom Bap
8862,Conscious Hip Hop
8862,East Coast Hip Hop
8862,Jazz Rap
9049,Heavy Metal
9051,Art Rock
9051,Gothic Rock
9051,Post-Punk
9079,Boom Bap
9079,East Coast Hip Hop
9079,Gangsta Rap
9136,Deep Soul
9136,Funk
9136,Psychedelic Soul
9136,Smooth Soul
9136,Soul
9136,Spoken Word
9363,Baroque Pop
9363,Psychedelic Pop
9363,Sunshine Pop
9386,MPB
9386,Samba
9386,Singer/Songwriter
9553,Math Rock
9553,Midwest Emo
9553,Post-Rock
9655,Art Punk
9655,Dance-Punk
9655,Post-Punk
9676,Progressive Rock
9676,Symphonic Prog
9684,Boom Bap
9684,Conscious Hip Hop
9684,East Coast Hip Hop
9684,Jazz Rap
9684,Neo-Soul
9777,Art Rock
9777,Experimental Rock
9777,Gothic Rock
9777,Industrial
9777,Industrial Rock
9777,Neofolk
9777,Noise Rock
9777,Post-Punk
9858,Abstract Hip Hop
9858,Abstract Hip Hop
9858,Boom Bap
9858,Conscious Hip Hop
9858,Experimental Hip Hop
9858,Turntablism
9858,West Coast Hip Hop
9910,Indie Rock
9910,Math Rock
9910,Post-Hardcore
9910,Post-Punk
9958,Hard Rock
9958,Heavy Metal
9958,Speed Metal
9959,Hard Rock
9959,Heavy Metal
9959,Speed Metal
9976,Hard Rock
9976,Heavy Metal
9976,Rock &amp; Roll
9979,Heavy Metal
9979,NWOBHM
9980,Heavy Metal
9980,Progressive Metal
10027,Abstract Hip Hop
10027,Boom Bap
10027,East Coast Hip Hop
10027,Hardcore Hip Hop
10133,Art Rock
10133,Comedy Rock
10133,Experimental Rock
10133,Jazz-Rock
10133,Progressive Rock
10143,Art Rock
10143,Avant-Prog
10143,Canterbury Scene
10143,Jazz-Rock
10143,Singer/Songwriter
10283,Hard Rock
10283,Heavy Metal
10373,Baroque Music
10373,Horror Synth
10373,Neoclassical Darkwave
10373,Neoclassical Darkwave
10373,Sequencer &amp; Tracker
10373,Symphonic Metal
10373,Symphonic Rock
10373,Video Game Music
10376,Ambient
10376,Cinematic Classical
10376,Dark Ambient
10376,Fanfare
10376,Modern Classical
10376,New Age
10376,Sequencer &amp; Tracker
10376,Traditional Folk Music
10376,Video Game Music
10382,Celtic Folk Music
10382,Celtic New Age
10382,Cinematic Classical
10382,Sequencer &amp; Tracker
10382,Video Game Music
10388,Ambient
10388,Cinematic Classical
10388,Electronic
10388,Jazz Fusion
10388,Modern Classical
10388,New Age
10388,Orchestral
10388,Sequencer &amp; Tracker
10388,Video Game Music
10393,Avant-Garde Jazz
10393,Jazz Fusion
10393,Jazz-Funk
10393,Jazz-Rock
10394,Avant-Garde Jazz
10394,Jazz Fusion
10394,Modal Jazz
10400,Avant-Garde Jazz
10400,Jazz Fusion
10400,Jazz-Funk
10400,Raga Rock
10403,Avant-Garde Jazz
10403,Funk
10403,Jazz Fusion
10403,Jazz-Funk
10403,Jazz-Rock
10403,Psychedelic Rock
10405,Avant-Garde Jazz
10405,Experimental Rock
10405,Jazz Fusion
10405,Jazz-Funk
10405,Psychedelic Rock
10453,Dream Pop
10453,Gothic Rock
10453,Post-Punk
10494,Avant-Garde Jazz
10494,Hard Bop
10494,Modal Jazz
10494,Post-Bop
10523,Art Punk
10523,Art Rock
10523,Funk
10523,New Wave
10523,Post-Punk
10551,Avant-Garde Jazz
10551,Hard Bop
10551,Post-Bop
10701,Hard Bop
10701,Modal Jazz
10702,Modal Jazz
10702,Post-Bop
10702,Spiritual Jazz
10754,Minimalism
10754,Post-Minimalism
10874,Free Jazz
10874,Spiritual Jazz
10878,Ethereal Wave
10878,Gothic Rock
10878,Neofolk
10878,Post-Punk
11014,Boom Bap
11014,East Coast Hip Hop
11014,Hardcore Hip Hop
11082,Boom Bap
11082,Conscious Hip Hop
11082,East Coast Hip Hop
11082,Hardcore Hip Hop
11082,Jazz Rap
11130,Cool Jazz
11130,Hard Bop
11164,Abstract Hip Hop
11164,Boom Bap
11164,East Coast Hip Hop
11164,Gangsta Rap
11164,Hardcore Hip Hop
11215,Cool Jazz
11215,Modal Jazz
11217,Free Jazz
11218,Avant-Garde Jazz
11218,Free Jazz
11221,Avant-Garde Jazz
11221,Experimental Big Band
11221,Third Stream
11222,Cool Jazz
11222,Hard Bop
11222,Post-Bop
11341,Hard Rock
11341,Heavy Metal
11341,Progressive Rock
11342,Hard Rock
11342,Heavy Metal
11343,Blues Rock
11343,Hard Rock
11392,Modal Jazz
11392,Post-Bop
11618,Heavy Metal
11659,Big Band
11659,Swing
11692,Hard Bop
11812,Avant-Prog
11812,Comedy Rock
11812,Funk
11812,Jazz Fusion
11812,Jazz-Rock
11812,Progressive Rock
11957,Art Rock
11957,Folk Rock
11957,Glam Rock
11957,Pop Rock
12095,Canterbury Scene
12095,Progressive Rock
12095,Psychedelic Rock
12136,Garage Rock
12136,Garage Rock
12136,Proto-Punk
12256,Dream Pop
12256,Electronic
12256,Neo-Psychedelia
12256,Psychedelic Pop
12256,Space Rock
12410,Hard Rock
12410,Heavy Metal
12445,Abstract Hip Hop
12445,Boom Bap
12445,Conscious Hip Hop
12445,East Coast Hip Hop
12445,Hardcore Hip Hop
12445,Jazz Rap
12502,Jazz-Rock
12502,Progressive Rock
12517,Electronic
12517,Futurism
12517,Modern Classical
12517,Musique concrète
12517,Orchestral
12644,Jazz Fusion
12644,Jazz-Rock
12644,Latin Rock
12644,Psychedelic Rock
12690,Death Metal
12819,Big Band
12819,Cartoon Music
12819,Film Soundtrack
12819,Modern Classical
12819,Swing
12819,Third Stream
12873,Cinematic Classical
12873,Film Score
12873,Orchestral
12907,Hard Rock
12907,Progressive Rock
13083,Minimalism
13114,Thrash Metal
13337,Blues Rock
13337,Hard Rock
13337,Rock Opera
13339,Film Soundtrack
13339,Hard Rock
13339,Mod
13339,Pop Rock
13339,Rock
13394,Experimental Rock
13394,Krautrock
13394,Neo-Psychedelia
13394,Noise Rock
13394,Psychedelic Rock
13394,Space Rock
13461,Free Jazz
13461,Spiritual Jazz
13507,Bossa nova
13507,Samba
13507,Samba-canção
13532,Ambient
13532,Avant-Garde Jazz
13532,Jazz Fusion
13532,Jazz-Funk
13532,Jazz-Rock
13532,Krautrock
13541,Dream Pop
13541,Lo-Fi / Slacker Rock
13541,Post-Rock
13541,Slowcore
13541,Space Rock
13541,Space Rock Revival
13549,P-Funk
13549,Synth Funk
13553,Deathrock
13553,No Wave
13553,Noise Rock
13553,Post-Punk
13553,Punk Blues
13802,Cool Jazz
13802,Hard Bop
13916,ECM Style Jazz
13916,Post-Minimalism
13931,Jazz Fusion
13931,Jazz-Rock
13931,Progressive Rock
13935,Avant-Garde Jazz
13935,Jazz Fusion
13935,Jazz-Funk
13935,Progressive Electronic
13991,Epic Doom Metal
13991,Traditional Doom Metal
14024,Blues Rock
14024,Boogie Rock
14024,Country Rock
14024,Jam Band
14024,Roots Rock
14024,Southern Rock
14024,Yacht Rock
14030,Doom Metal
14030,Sludge Metal
14030,Stoner Metal
14076,Heavy Psych
14076,Stoner Metal
14076,Stoner Rock
14077,Heavy Psych
14077,Psychedelic Rock
14077,Stoner Metal
14077,Stoner Rock
14197,Art Rock
14197,Progressive Rock
14197,Rock Opera
14197,Symphonic Prog
14338,P-Funk
14338,Synth Funk
14339,Hard Rock
14339,Heavy Metal
14630,Art Punk
14630,Hardcore Punk
14630,Metalcore
14630,Post-Hardcore
14705,Cool Jazz
14705,Modal Jazz
14705,Post-Bop
14706,Avant-Garde Jazz
14706,Free Jazz
14706,Spiritual Jazz
14776,Free Jazz
14776,Jazz Fusion
14776,Jazz-Funk
14776,Jazz-Rock
14793,Free Jazz
14793,Spiritual Jazz
14795,Free Jazz
14795,Soul Jazz
14795,Spiritual Jazz
14798,Hindustani Classical Music
14798,Post-Bop
14798,Spiritual Jazz
15064,Blues Rock
15064,Hard Rock
15064,Heavy Metal
15064,Progressive Rock
15189,Industrial Rock
15189,Noise Rock
15189,Post-Hardcore
15189,Post-Punk
15269,Dark Ambient
15269,Drone
15269,Experimental
15269,Experimental Rock
15269,Field Recordings
15269,Industrial
15269,Post-Rock
15269,Sound Collage
15269,Spoken Word
15875,Doom Metal
15875,Epic Doom Metal
15875,Traditional Doom Metal
15928,Ambient
15928,Celtic New Age
15928,Neoclassical New Age
15928,Sequencer &amp; Tracker
15928,Traditional Folk Music
15928,Video Game Music
15944,Avant-Prog
15944,Blues Rock
15944,Comedy Rock
15944,Experimental Rock
15944,Jazz-Rock
16111,Contemporary Folk
16111,Folk Rock
16111,Post-Rock
16111,Singer/Songwriter
16111,Slowcore
16111,Slowcore
16147,Blues Rock
16147,Hard Rock
16147,Southern Rock
16172,Acoustic Rock
16172,Country Rock
16172,Folk Rock
16172,Hard Rock
16172,Singer/Songwriter
16415,Blue-Eyed Soul
16415,Gospel
16415,Pop Rock
16415,Rhythm &amp; Blues
16415,Rock &amp; Roll
16415,Rockabilly
16598,Cinematic Classical
16598,Dark Ambient
16598,Dark Jazz
16598,Experimental Rock
16598,Film Score
16598,Film Soundtrack
16598,Modern Classical
16600,ECM Style Jazz
16779,Art Rock
16779,Indie Rock
16779,Post-Hardcore
16779,Post-Rock
16879,Alternative Dance
16879,Art Pop
16879,Art Rock
16879,Downtempo
16879,Dream Pop
16879,Neo-Psychedelia
16879,Neo-Psychedelia
16879,Trip Hop
16935,Calypso
16935,Caribbean Folk Music
16935,Freak Folk
16935,Goombay
16935,Junkanoo
16935,Psychedelic Folk
17034,Deep Soul
17034,Southern Soul
17034,Traditional Black Gospel
17040,Avant-Folk
17040,MPB
17040,Samba
17040,Samba-canção
17044,Baroque Pop
17044,Country Rock
17044,Folk Rock
17044,Psychedelic Rock
17044,Singer/Songwriter
17057,Avant-Garde Metal
17057,Technical Death Metal
17135,Hard Bop
17135,Latin Jazz
17249,Avant-Prog
17249,Experimental Rock
17249,Industrial
17249,Krautrock
17249,Post-Punk
17249,Tape Music
17350,Hard Bop
17376,Modal Jazz
17376,Post-Bop
17474,Cool Jazz
17474,Modal Jazz
17489,Avant-Garde Jazz
17489,Hard Bop
17489,Post-Bop
17489,Third Stream
17499,Avant-Garde Jazz
17499,Free Jazz
17499,Post-Bop
17501,Avant-Garde Jazz
17501,Hard Bop
17501,Post-Bop
17575,Avant-Garde Jazz
17575,Modal Jazz
17575,Spiritual Jazz
17646,Avant-Garde Jazz
17646,Free Jazz
17646,Jazz Fusion
17646,Post-Bop
17669,Jazz-Funk
17669,Singer/Songwriter
17669,Soul
17669,Soul Jazz
17669,Spoken Word
17674,Blues Rock
17674,Jam Band
17856,Art Rock
17856,Progressive Rock
17856,Symphonic Prog
17902,Atmospheric Black Metal
17902,Black Metal
17902,Dark Folk
17902,Folk Metal
17902,Neofolk
17902,Post-Metal
17902,Post-Rock
17906,Avant-Garde Jazz
17906,Experimental Big Band
17906,Flamenco Jazz
17906,Third Stream
17997,Post-Punk Revival
18246,Hard Bop
18246,Modal Jazz
18246,Post-Bop
18354,Avant-Prog
18354,Free Improvisation
18354,Progressive Rock
18447,Dream Pop
18447,Slowcore
18586,Afoxé
18586,MPB
18586,Singer/Songwriter
18586,Tropicália
18846,Comedy Rock
18846,Experimental Rock
18846,Jazz-Rock
18846,Progressive Rock
18850,Avant-Prog
18850,Experimental Rock
18850,Jazz-Rock
19133,Progressive Folk
19133,Progressive Rock
19133,Symphonic Prog
19286,Alternative Rock
19286,Radio Broadcast Recordings
19286,Stoner Rock
19288,Hardcore Punk
19288,Horror Punk
19288,Punk Rock
19392,Melodic Black Metal
19392,Melodic Death Metal
19502,Death Metal
19727,Noise Rock
19727,Post-Punk
19727,Punk Rock
19835,Stand-Up Comedy
20115,Hard Bop
20144,Cinematic Classical
20144,Film Score
20144,Italian Folk Music
20144,Modern Classical
20144,Third Stream
20786,Hardcore Punk
20786,Mathcore
20786,Metalcore
21066,Avant-Garde Jazz
21066,Hard Bop
21066,Post-Bop
21235,Avant-Prog
21235,Experimental Rock
21235,New Wave
21235,New Wave
21235,Progressive Rock
21237,Hard Rock
21237,Progressive Rock
21450,16-bit
21450,Ambient
21450,Cinematic Classical
21450,Fanfare
21450,New Age
21450,Orchestral
21450,Sounds and Effects
21450,Video Game Music
21480,Avant-Prog
21480,Free Improvisation
21480,Progressive Rock
21732,Blues Rock
21732,Contemporary Folk
21732,Folk Rock
21732,Singer/Songwriter
21749,Blues Rock
21749,Hard Rock
21749,Jam Band
21749,Progressive Rock
21876,A cappella
21876,Baroque Pop
21876,Progressive Pop
21876,Psychedelic Pop
21876,Sunshine Pop
21983,Big Band
21983,Cinematic Classical
21983,Film Score
22066,Boom Bap
22066,East Coast Hip Hop
22066,Horrorcore
22312,Boom Bap
22312,Conscious Hip Hop
22312,East Coast Hip Hop
22312,Hardcore Hip Hop
22349,Cool Jazz
22349,Hard Bop
22349,Modal Jazz
22375,Atmospheric Black Metal
22375,Dark Folk
22375,Pagan Black Metal
22562,Boom Bap
22562,East Coast Hip Hop
22562,Gangsta Rap
22562,Jazz Rap
22684,Cinematic Classical
22684,Film Score
22684,Orchestral
22917,16-bit
22917,Cinematic Classical
22917,Classical March
22917,Orchestral
22917,Video Game Music
22920,Chamber Music
22920,Dark Ambient
22920,Fanfare
22920,Ritual Ambient
22920,Sequencer &amp; Tracker
22920,Sounds and Effects
22920,Video Game Music
23048,Melodic Death Metal
23048,Progressive Metal
23085,Ambient
23085,Post-Rock
23310,Experimental Rock
23310,No Wave
23310,Noise Rock
23310,Post-Minimalism
23310,Post-Rock
23310,Totalism
23310,Totalism
23674,Stand-Up Comedy
23684,Satire
23684,Stand-Up Comedy
23915,Funk
23915,Soul
23915,Southern Soul
23971,Funk
23971,Soul
24479,Avant-Garde Jazz
24479,Free Jazz
24479,Klezmer
24479,Post-Bop
24827,Hard Bop
24832,Hard Bop
24832,Soul Jazz
24961,Hard Rock
24961,Heavy Metal
24961,Traditional Doom Metal
25138,Atmospheric Sludge Metal
25138,Post-Metal
25138,Post-Rock
25561,Roots Reggae
25613,Boom Bap
25613,East Coast Hip Hop
25613,Gangsta Rap
25613,Gangsta Rap
26173,Blues Rock
26421,Art Pop
26421,New Romantic
26421,Sophisti-Pop
26421,Synthpop
27054,Minimalism
27054,Modern Classical
27054,Symphony
27092,Acid Rock
27092,Acid Rock
27092,Blues Rock
27092,Hard Rock
27092,Heavy Psych
27092,Jam Band
27092,Psychedelic Rock
27314,Americana
27314,Contemporary Folk
27342,Hard Bop
27342,Modal Jazz
27342,Post-Bop
27682,Boom Bap
27682,East Coast Hip Hop
27682,Gangsta Rap
27890,Chicago Soul
27890,Deep Soul
27890,Funk
27890,Soul Jazz
28235,Acoustic Blues
28235,Contemporary Folk
28235,Contemporary Folk
28235,Country
28235,Singer/Songwriter
28513,Choral
28513,Film Score
28513,Minimalism
28663,Acid Rock
28663,Blues Rock
28663,Hard Rock
28663,Psychedelic Rock
29306,Garage Rock
29306,Hard Rock
29306,Noise Rock
29306,Proto-Punk
29355,Celtic Folk Music
29355,Cinematic Classical
29355,Film Score
29355,Orchestral
29618,Blues Rock
29618,Hard Rock
29618,Jam Band
29618,Southern Rock
29683,Art Punk
29683,Math Rock
29683,Post-Hardcore
29700,Acid Rock
29700,Blues Rock
29700,Blues Rock
29700,Hard Rock
29700,Psychedelic Rock
29773,Pop Soul
29773,Rhythm &amp; Blues
29773,Southern Soul
30878,Afrobeat
30878,Jazz-Funk
30988,Dirty South
30988,G-Funk
30988,Gangsta Rap
30988,Southern Hip Hop
31366,Progressive Rock
31366,Psychedelic Rock
31572,Contemporary Folk
31572,Country
31572,Singer/Songwriter
32162,Baroque Music
32748,Dream Pop
32748,Indie Rock
32748,Noise Pop
32748,Shoegaze
32748,Slowcore
32934,Acid Rock
32934,Blues Rock
32934,Hard Rock
32934,Psychedelic Rock
33040,Emo
33040,Math Rock
33040,Noise Rock
33040,Noise Rock
33040,Post-Hardcore
33363,Afrobeat
33363,Jazz-Funk
33961,Jazz Fusion
33961,Progressive Metal
33961,Technical Death Metal
33961,Technical Thrash Metal
34236,Hard Rock
34236,Heavy Metal
34236,Heavy Metal
35500,Baroque Pop
35500,Contemporary Folk
35500,MPB
35500,Psychedelic Pop
36322,Avant-Garde Jazz
36322,ECM Style Jazz
37026,Country Rock
37026,Folk Rock
37026,Jam Band
37026,Psychedelic Rock
37270,Big Band
37270,Blues
37270,Hard Bop
37270,Jazz
37270,Spaghetti Western
37270,Swing
37270,Television Music
37287,Noise Rock
37287,Post-Hardcore
37287,Post-Punk
37596,Baroque Music
37903,Avant-Prog
37903,Experimental Rock
37903,Free Improvisation
37903,Industrial
37903,Krautrock
37903,No Wave
37903,Noise Rock
37903,Post-Punk
37903,Tape Music
37920,Avant-Folk
37920,Drone
37920,Experimental
37920,Field Recordings
37920,Psychedelic Folk
37920,Tribal Ambient
38636,Black Metal
38636,Melodic Black Metal
38636,Thrash Metal
39027,Chicago Blues
39355,Avant-Garde Jazz
39355,Experimental Big Band
39355,Jazz Fusion
39355,Jazz-Funk
39581,Acid Rock
39581,Blues Rock
39581,Funk Rock
39581,Hard Rock
39581,Jam Band
39581,Psychedelic Rock
39642,Blues
39642,Rhythm &amp; Blues
39642,Soul
39650,Acid Rock
39650,Blues Rock
39650,Hard Rock
39650,Psychedelic Rock
39765,Choral
39765,Christian Liturgical Music
39765,Classical Period
40100,Death Metal
40100,Technical Death Metal
40262,Opera
40262,Romanticism
40355,Modal Jazz
40355,Post-Bop
40523,Choral
40523,Christian Liturgical Music
40523,Classical Period
40523,Concerto
40523,Film Score
40523,Film Soundtrack
40523,Opera
40523,Orchestral
40523,Symphony
40634,Alt-Country
40634,Americana
40634,Country Rock
40634,Folk Rock
40634,Singer/Songwriter
40909,Cinematic Classical
40909,Film Score
40909,Spaghetti Western
41068,Jazz Fusion
41068,Jazz-Funk
41329,Acoustic Rock
41329,Alternative Rock
41329,Art Rock
41329,Chamber Pop
41329,Dream Pop
41329,Electronic
41329,Neo-Psychedelia
41453,Art Pop
41453,Indie Rock
41453,Indie Rock
41453,Krautrock
41453,Noise Pop
41462,Afoxé
41462,Funk
41462,MPB
41462,Psychedelic Soul
41462,Samba Soul
41462,Samba-rock
41463,MPB
41463,Psychedelic Pop
41463,Samba Soul
41463,Samba-rock
42034,Art Rock
42034,Chamber Pop
42034,Indie Rock
42034,Post-Rock
44254,Jazz-Rock
44254,Zeuhl
44333,Contemporary Folk
44333,Country
44333,Progressive Country
44333,Singer/Songwriter
44662,Jazz-Funk
44662,Soul Jazz
45974,Drone
45974,Neo-Psychedelia
45974,Shoegaze
45974,Space Rock
45974,Space Rock Revival
46031,Heavy Metal
46318,Avant-Garde Jazz
46318,Free Jazz
46318,Jazz Fusion
46318,Jazz-Rock
46381,Progressive Rock
46381,Space Rock
46381,Symphonic Prog
46453,Death Doom Metal
46453,Death Metal
46466,Funk
46466,Smooth Soul
46466,Soul
46615,Grunge
46615,Hard Rock
46615,Noise Rock
47142,Boom Bap
47142,Conscious Hip Hop
47142,East Coast Hip Hop
47550,Boom Bap
47550,East Coast Hip Hop
47550,Gangsta Rap
47550,Hardcore Hip Hop
47550,Horrorcore
47550,Jazz Rap
47974,Boom Bap
47974,Conscious Hip Hop
47974,East Coast Hip Hop
47974,Jazz Rap
48115,Abstract Hip Hop
48115,East Coast Hip Hop
48115,Experimental Hip Hop
48115,Jazz Rap
48115,Turntablism
48818,Heavy Metal
48930,Candomblé Music
48930,Samba
48930,Samba de roda
49398,Dub
49398,Roots Reggae
49746,Avant-Garde Jazz
49746,Hard Bop
49746,Post-Bop
49746,Third Stream
51085,Ambient Pop
51085,Dream Pop
51085,Glitch
51085,Glitch Pop
51085,IDM
51085,Indietronica
51085,Noise Pop
51085,Shoegaze
51085,Shoegaze
51445,Electro
51445,Electronic
51445,Minimal Synth
51445,Synthpop
51446,Electronic
51446,Progressive Electronic
51446,Space Disco
51446,Synthpop
52304,Contemporary Folk
52304,Country
52304,Outlaw Country
52304,Singer/Songwriter
52627,Art Rock
52627,Folk Rock
52627,Garage Rock
52627,Noise Rock
52627,Proto-Punk
52627,Rock
52915,Electronic
52915,Progressive Electronic
52915,Synthpop
53487,Soul
53487,Soul Jazz
53487,Vocal Jazz
53859,Alternative Rock
53859,Art Rock
53859,Experimental Rock
53859,Folk Rock
53859,Neo-Psychedelia
53859,Neo-Psychedelia
53859,Progressive Rock
53859,Psychedelic Pop
53859,Psychedelic Rock
55072,Nueva trova
55442,Art Rock
55442,Experimental Rock
55442,Post-Hardcore
55442,Post-Hardcore
55442,Progressive Rock
55831,Art Rock
55831,Glam Rock
55831,Hard Rock
55831,Pop Rock
55831,Pop Rock
58951,Blues Rock
58951,British Folk Rock
58951,Hard Rock
58951,Jam Band
59048,Romanticism
59048,Symphony
61016,American Primitivism
61600,Hard Bop
61600,Soul Jazz
62982,Choral
62982,Christian Liturgical Music
62982,Classical Period
64354,Modal Jazz
64354,Post-Bop
64448,Avant-Garde Jazz
64448,Hard Bop
64448,Post-Bop
66381,Jazz
66381,Stand-Up Comedy
68172,Hard Bop
68627,Standards
68627,Swing
68627,Vocal Jazz
69628,Heavy Metal
69628,Speed Metal
70181,Carols
70181,Christmas Music
70181,Cool Jazz
70181,Television Music
70433,Technical Death Metal
70652,Post-Punk
70803,Americana
70803,Folk Rock
70803,Jam Band
70803,Psychedelic Rock
71407,MPB
71407,Samba Soul
71407,Samba-rock
71716,Dream Pop
71716,Neo-Psychedelia
71716,Noise Rock
71716,Post-Rock
71716,Shoegaze
71716,Space Rock
71716,Space Rock Revival
72156,Baroque Music
72156,Choral
72156,Christian Liturgical Music
73073,Rhythm &amp; Blues
73073,Soul Blues
73073,Vocal Jazz
73082,Blues
73082,Rhythm &amp; Blues
73082,Soul
73082,Vocal Jazz
76768,Alternative Rock
76768,Country Rock
76768,Experimental Rock
76768,Funk Rock
76768,Hard Rock
76768,Jam Band
76768,Psychedelic Rock
76795,Alternative Rock
76795,Singer/Songwriter
76795,Soul
77815,Afrobeat
77815,Jazz-Funk
78164,Boom Bap
78164,Conscious Hip Hop
78164,East Coast Hip Hop
78164,Jazz Rap
78164,Neo-Soul
78164,Political Hip Hop
78183,Contemporary Folk
78183,Outlaw Country
78183,Progressive Country
78183,Singer/Songwriter
79378,Acid Rock
79378,Blues Rock
79378,Psychedelic Rock
80371,Hard Rock
80371,Progressive Rock
80731,Avant-Garde Jazz
80731,Jazz Fusion
80731,Modal Jazz
80874,Art Punk
80874,Post-Punk
80874,Punk Rock
81170,Power Metal
81170,Progressive Metal
81170,Speed Metal
81646,Art Punk
81646,Noise Rock
81646,Post-Punk
81646,Punk Rock
83323,Blues Rock
83323,Pop Rock
84233,Art Rock
84233,Blues Rock
84233,Contemporary Folk
84233,Folk Rock
84233,Progressive Folk
84233,Psychedelic Folk
84233,Psychedelic Rock
84233,Singer/Songwriter
84315,Hard Bop
86110,Hard Rock
86110,Progressive Rock
86171,Blues Rock
86171,Hard Rock
86171,Jam Band
87059,Contemporary Folk
87059,Singer/Songwriter
87059,Talking Blues
88306,Blues Rock
88306,Jam Band
88306,Southern Rock
88508,Cinematic Classical
88508,Film Score
88508,Japanese Folk Music
88584,Art Pop
88584,Art Rock
88584,J-Pop
88584,J-Rock
88584,Noise Pop
88584,Progressive Pop
88585,Art Pop
88585,Art Rock
88585,Chamber Pop
88585,J-Rock
88585,Jazz Pop
88585,Noise Pop
88585,Progressive Pop
88585,Progressive Pop
90705,Alt-Country
90705,Folk Rock
90705,Singer/Songwriter
90705,Slowcore
91173,Hard Bop
94103,Chipmunk Soul
94103,Conscious Hip Hop
94103,Neo-Soul
94103,Pop Rap
94103,Pop Rap
96436,Hard Rock
96436,Heavy Metal
96436,Heavy Psych
98731,Art Rock
98731,Jazz-Rock
98731,Progressive Rock
98731,Psychedelic Rock
99242,Americana
99242,Contemporary Folk
99242,Country Gospel
99242,Hymns
99242,Rockabilly
99481,Blues Rock
99481,Folk Rock
99481,Hindustani Classical Music
99481,Pop Rock
99481,Soft Rock
100544,Atmospheric Black Metal
100544,Black Metal
100544,Depressive Black Metal
100705,Blues Rock
100705,Boogie Rock
100705,Hard Rock
100705,Jam Band
100873,Avant-Garde Jazz
100873,Free Jazz
100873,Jazz-Funk
101582,Modal Jazz
101582,Post-Bop
102596,Celtic Folk Music
102596,Cinematic Classical
102596,Film Score
102596,Orchestral
102596,Romanticism
103098,Abstract Hip Hop
103098,East Coast Hip Hop
103098,Experimental Hip Hop
103098,Glitch Hop
103098,Hardcore Hip Hop
103270,Blues Rock
103270,Psychedelic Rock
103270,Southern Soul
112025,Modern Classical
112025,Tango nuevo
113542,Thrash Metal
114057,Stand-Up Comedy
114393,Zeuhl
116663,Conducted Improvisation
116663,Experimental Big Band
116663,Free Jazz
116663,Modern Creative
116819,Big Band
116819,Third Stream
118334,Hard Rock
118334,Heavy Metal
118334,Speed Metal
124755,Ambient
124755,Drone
124755,Drone Metal
124755,Minimalism
