album,zanr
641,Neo-Psychedelia
641,Progressive Pop
641,Psychedelic Pop
644,Conscious Hip Hop
644,Dirty South
644,Experimental Hip Hop
644,Funk
644,Pop Rap
644,Southern Hip Hop
704,Art Rock
704,Experimental Rock
704,Glam Rock
704,Glam Rock
705,Art Pop
705,Art Rock
705,Experimental Rock
705,Glam Rock
706,Ambient
706,Art Pop
706,Art Rock
706,Electronic
709,Ambient
709,Art Pop
709,Art Rock
709,Electronic
709,New Wave
731,Alternative Rock
731,Art Rock
731,Blues
731,Singer/Songwriter
756,Avant-Garde Jazz
756,Hard Bop
756,Post-Bop
757,Hard Bop
757,Post-Bop
757,Third Stream
774,Hard Bop
774,Post-Bop
780,Hard Bop
808,Pop Punk
808,Punk Rock
810,Punk Rock
822,Deep Soul
822,Rhythm &amp; Blues
822,Southern Soul
839,Avant-Prog
839,Canterbury Scene
839,Experimental Rock
839,Jazz Fusion
839,Jazz-Rock
844,Garage Rock
844,Proto-Punk
844,Psychedelic Rock
845,Free Jazz
845,Garage Rock
845,Hard Rock
845,Noise Rock
845,Proto-Punk
846,Garage Rock
846,Hard Rock
846,Proto-Punk
880,Alternative Dance
880,Art Pop
880,Electronic
880,Tribal House
880,Trip Hop
882,Art Pop
882,Chamber Pop
882,Electronic
882,IDM
882,Trip Hop
902,Acoustic Rock
902,Alternative Rock
902,Singer/Songwriter
919,Alternative Rock
919,Indie Rock
919,Lo-Fi / Slacker Rock
919,Lo-Fi / Slacker Rock
919,Noise Pop
919,Noise Rock
919,Post-Hardcore
933,Alternative Metal
933,Funk Metal
933,Political Hip Hop
933,Rap Metal
969,Art Rock
969,Rock Opera
969,Symphonic Rock
974,Art Rock
974,Progressive Rock
974,Psychedelic Rock
975,Folk Rock
975,Progressive Rock
975,Psychedelic Rock
975,Space Rock
976,Art Rock
976,Progressive Rock
976,Psychedelic Rock
976,Space Rock
978,Art Rock
978,Progressive Rock
978,Psychedelic Rock
992,Blues Rock
992,Country Rock
992,Rock
992,Roots Rock
992,Roots Rock
993,Blues Rock
993,Country Rock
993,Rock &amp; Roll
995,Blues Rock
995,Country Rock
995,Rock
995,Rock &amp; Roll
996,Blues Rock
996,Country Rock
996,Rhythm &amp; Blues
996,Rock
996,Roots Rock
1030,Experimental Rock
1030,Psychedelic Pop
1030,Psychedelic Rock
1030,Space Rock
1034,Art Punk
1034,Funk Rock
1034,New Wave
1034,Post-Punk
1035,Funk Rock
1035,New Wave
1035,Post-Punk
1036,Afrobeat
1036,Dance-Punk
1036,Experimental Rock
1036,Funk
1036,New Wave
1036,Post-Punk
1037,Art Rock
1037,Dance-Punk
1037,Funk
1037,New Wave
1037,Synth Funk
1037,Synth Funk
1038,Art Punk
1038,Art Rock
1038,Funk
1038,New Wave
1038,Post-Punk
1045,Alternative Metal
1045,Grunge
1045,Heavy Metal
1049,Acoustic Rock
1049,Alternative Rock
1049,Grunge
1088,Alternative Rock
1088,Indie Rock
1088,Noise Rock
1088,Post-Hardcore
1089,Alternative Rock
1089,Indie Rock
1089,Noise Pop
1089,Surf Rock
1093,Alternative Rock
1093,Hardcore Punk
1093,Noise Rock
1093,Post-Hardcore
1110,Art Punk
1110,Funk Rock
1110,Post-Hardcore
1110,Post-Hardcore
1110,Post-Punk
1115,Experimental Rock
1115,No Wave
1115,Noise Rock
1115,Post-Punk
1116,Alternative Rock
1116,Experimental Rock
1116,Noise Rock
1116,Post-Punk
1117,Alternative Rock
1117,Experimental Rock
1117,Noise Rock
1117,Post-Punk
1167,Art Punk
1167,Art Rock
1167,Post-Punk
1175,Dream Pop
1175,Ethereal Wave
1179,Dream Pop
1179,Ethereal Wave
1179,Shoegaze
1189,Acid Rock
1189,Blues Rock
1189,Psychedelic Rock
1190,Acid Rock
1190,Blues Rock
1190,Psychedelic Pop
1190,Psychedelic Rock
1195,Acid Rock
1195,Blues Rock
1195,Psychedelic Rock
1245,British Brass Band
1245,Indie Folk
1245,Indie Rock
1245,Lo-Fi / Slacker Rock
1245,Psychedelic Folk
1245,Singer/Songwriter
1277,Baroque Pop
1277,Psychedelic Folk
1277,Psychedelic Pop
1277,Psychedelic Rock
1285,Art Pop
1285,Blues Rock
1285,Folk Pop
1285,Indie Pop
1285,Pop Rock
1285,Progressive Pop
1285,Psychedelic Pop
1310,Contemporary Folk
1310,Indie Folk
1310,Singer/Songwriter
1311,Indie Folk
1311,Indie Pop
1311,Lo-Fi / Slacker Rock
1311,Singer/Songwriter
1312,Chamber Pop
1312,Indie Folk
1312,Indie Pop
1312,Singer/Songwriter
1430,Art Punk
